dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.708746,3.653606,0.000200,0.020000,1.000000,50.000000,0.001044
0.020000,0.708798,3.653606,0.000252,0.002602,-0.869913,-93.495648,0.000870
0.020000,0.708902,3.653606,0.000356,0.005200,0.129938,49.992526,0.000524
0.020000,0.709058,3.653606,0.000512,0.007793,0.129638,-0.014956,0.000004
0.020000,0.712447,3.653605,0.003901,0.169465,8.083572,397.696657,6.282497
0.020000,0.716706,3.653601,0.008160,0.212950,2.174266,-295.465266,6.281634
0.020000,0.721816,3.653590,0.013270,0.255508,2.127893,-2.318677,6.280600
0.020000,0.727777,3.653571,0.019231,0.298049,2.127040,-0.042622,6.279397
0.020000,0.734588,3.653541,0.026043,0.340568,2.125958,-0.054129,6.278026
0.020000,0.742249,3.653495,0.033704,0.383065,2.124867,-0.054525,6.276488
0.020000,0.750760,3.653431,0.042215,0.425535,2.123494,-0.068668,6.274786
0.020000,0.760119,3.653344,0.051574,0.467976,2.122063,-0.071532,6.272921
0.020000,0.770326,3.653228,0.061782,0.510383,2.120327,-0.086834,6.270895
0.020000,0.781380,3.653080,0.072837,0.552754,2.118563,-0.088178,6.268711
0.020000,0.793280,3.652894,0.084739,0.595085,2.116567,-0.099813,6.266372
0.020000,0.806026,3.652664,0.097486,0.637375,2.114494,-0.103635,6.263881
0.020000,0.819615,3.652384,0.111079,0.679619,2.112192,-0.115080,6.261239
0.020000,0.834048,3.652047,0.125515,0.721813,2.109697,-0.124785,6.258452
0.020000,0.849321,3.651647,0.140794,0.763954,2.107024,-0.133645,6.255522
0.020000,0.865435,3.651176,0.156915,0.806039,2.104248,-0.138788,6.252452
0.020000,0.882388,3.650627,0.173876,0.848063,2.101240,-0.150410,6.249248
0.020000,0.900177,3.649994,0.191676,0.890024,2.098015,-0.161244,6.245913
0.020000,0.918801,3.649267,0.210315,0.931919,2.094790,-0.161248,6.242452
0.020000,0.938258,3.648439,0.229790,0.973741,2.091092,-0.184898,6.238869
0.020000,0.958546,3.647502,0.250099,1.015491,2.087473,-0.180932,6.235170
