dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.709372,3.053607,0.000200,0.020000,1.000000,50.000000,0.001044
0.020000,0.709320,3.053607,0.000252,0.002602,-0.869913,-93.495648,0.000870
0.020000,0.709216,3.053607,0.000356,0.005200,0.129938,49.992526,0.000524
0.020000,0.709060,3.053606,0.000512,0.007793,0.129638,-0.014956,0.000004
0.020000,0.712034,3.053605,0.003486,0.148710,7.045824,345.809287,6.282497
0.020000,0.715775,3.053601,0.007227,0.187050,1.917019,-256.440272,6.281634
0.020000,0.720265,3.053592,0.011717,0.224492,1.872085,-2.246709,6.280600
0.020000,0.725504,3.053575,0.016956,0.261951,1.872979,0.044716,6.279397
0.020000,0.731492,3.053549,0.022945,0.299430,1.873952,0.048676,6.278026
0.020000,0.738231,3.053509,0.029683,0.336935,1.875204,0.062572,6.276488
0.020000,0.745720,3.053452,0.037173,0.374464,1.876495,0.064565,6.274786
0.020000,0.753960,3.053375,0.045413,0.412025,1.878029,0.076680,6.272921
0.020000,0.762952,3.053274,0.054405,0.449617,1.879590,0.078060,6.270895
0.020000,0.772696,3.053143,0.064150,0.487245,1.881429,0.091954,6.268711
0.020000,0.783193,3.052979,0.074649,0.524913,1.883369,0.097018,6.266372
0.020000,0.794444,3.052776,0.085901,0.562624,1.885554,0.109209,6.263881
0.020000,0.806449,3.052528,0.097909,0.600381,1.887852,0.114917,6.261239
0.020000,0.819209,3.052230,0.110672,0.638187,1.890300,0.122392,6.258452
0.020000,0.832725,3.051876,0.124193,0.676045,1.892917,0.130843,6.255522
0.020000,0.846998,3.051459,0.138473,0.713961,1.895773,0.142809,6.252452
0.020000,0.862029,3.050973,0.153511,0.751936,1.898758,0.149253,6.249248
0.020000,0.877819,3.050410,0.169311,0.789974,1.901889,0.156579,6.245913
0.020000,0.894368,3.049765,0.185872,0.828081,1.905363,0.173697,6.242452
0.020000,0.911677,3.049028,0.203197,0.866256,1.908763,0.169964,6.238869
0.020000,0.929748,3.048193,0.221288,0.904508,1.912580,0.190889,6.235170
0.020000,0.948581,3.047252,0.240144,0.942837,1.916467,0.194333,6.231359
0.020000,0.968178,3.046197,0.259769,0.981248,1.920558,0.204521,6.227442
0.020000,0.988539,3.045020,0.280164,1.019745,1.924851,0.214689,6.223425
0.020000,1.009665,3.043712,0.301331,1.058331,1.929277,0.221294,6.219314
0.020000,1.031557,3.042266,0.323271,1.097010,1.933976,0.234961,6.215115
0.020000,1.054217,3.040672,0.345987,1.135786,1.938784,0.240369,6.210834
0.020000,1.077645,3.038922,0.369480,1.174662,1.943816,0.251615,6.206478
0.020000,1.101842,3.037009,0.393753,1.213643,1.949015,0.259926,6.202054
0.020000,1.126810,3.034922,0.418807,1.252731,1.954395,0.269016,6.197570
0.020000,1.152549,3.032654,0.444646,1.291930,1.959958,0.278133,6.193032
0.020000,1.179060,3.030196,0.471271,1.331243,1.965660,0.285118,6.188448
0.020000,1.206344,3.027539,0.498684,1.370674,1.971577,0.295863,6.183826
0.020000,1.234403,3.024676,0.526889,1.410227,1.977639,0.303094,6.179175
0.020000,1.263238,3.021598,0.555887,1.449904,1.983852,0.310624,6.174502
0.020000,1.292848,3.018296,0.585681,1.489709,1.990238,0.319347,6.169816
0.020000,1.323237,3.014764,0.616274,1.529645,1.996788,0.327469,6.165126
0.020000,1.354403,3.010993,0.647668,1.569712,2.003371,0.329182,6.160440
0.020000,1.386350,3.006975,0.679867,1.609918,2.010288,0.345846,6.155768
0.020000,1.419078,3.002705,0.712872,1.650262,2.017212,0.346157,6.151119
0.020000,1.452588,2.998174,0.746687,1.690747,2.024264,0.352638,6.146502
0.020000,1.486882,2.993377,0.781314,1.731377,2.031474,0.360463,6.141927
0.020000,1.521960,2.988307,0.816757,1.772154,2.038843,0.368459,6.137404
0.020000,1.557825,2.982959,0.853019,1.813079,2.046259,0.370828,6.132943
0.020000,1.594478,2.977328,0.890102,1.854155,2.053823,0.378175,6.128554
0.020000,1.631921,2.971408,0.928010,1.895384,2.061437,0.380708,6.124246
