dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.588619,3.512223,0.000200,0.020000,1.000000,50.000000,6.280701
0.020000,0.588523,3.512223,0.000296,0.004820,-0.759020,-87.950989,6.281022
0.020000,0.588330,3.512224,0.000489,0.009647,0.241356,50.018813,6.281665
0.020000,0.588040,3.512224,0.000779,0.014489,0.242109,0.037647,6.282631
0.020000,0.589480,3.512225,0.002219,0.071998,2.875470,131.668010,0.000737
0.020000,0.592993,3.512230,0.005732,0.175654,5.182798,115.366422,0.002356
0.020000,0.597208,3.512244,0.009947,0.210764,1.755499,-171.364959,0.004310
0.020000,0.602121,3.512271,0.014860,0.245633,1.743441,-0.602887,0.006602
0.020000,0.607729,3.512315,0.020469,0.280445,1.740599,-0.142129,0.009239
0.020000,0.614032,3.512383,0.026772,0.315144,1.734941,-0.282867,0.012228
0.020000,0.621025,3.512480,0.033765,0.349673,1.726434,-0.425350,0.015577
0.020000,0.628709,3.512614,0.041451,0.384292,1.730996,0.228094,0.019298
0.020000,0.637076,3.512793,0.049820,0.418421,1.706421,-1.228744,0.023397
0.020000,0.646127,3.513025,0.058873,0.452683,1.713104,0.334118,0.027891
0.020000,0.655853,3.513320,0.068604,0.486541,1.692890,-1.010678,0.032788
0.020000,0.666251,3.513689,0.079009,0.520247,1.685316,-0.378677,0.038104
0.020000,0.677317,3.514142,0.090084,0.553734,1.674360,-0.547822,0.043856
0.020000,0.689042,3.514693,0.101822,0.586933,1.659958,-0.720105,0.050058
0.020000,0.701422,3.515355,0.114220,0.619880,1.647335,-0.631127,0.056731
0.020000,0.714451,3.516141,0.127272,0.652590,1.635490,-0.592282,0.063894
0.020000,0.728117,3.517068,0.140970,0.684887,1.614862,-1.031373,0.071568
0.020000,0.742413,3.518152,0.155306,0.716833,1.597278,-0.879221,0.079778
0.020000,0.757328,3.519410,0.170275,0.748448,1.580756,-0.826093,0.088548
0.020000,0.772854,3.520861,0.185868,0.779647,1.559974,-1.039094,0.097906
0.020000,0.788975,3.522525,0.202075,0.810346,1.534924,-1.252525,0.107880
0.020000,0.805681,3.524424,0.218889,0.840685,1.516959,-0.898253,0.118502
0.020000,0.822955,3.526579,0.236296,0.870387,1.485082,-1.593844,0.129805
0.020000,0.840783,3.529015,0.254290,0.899700,1.465650,-0.971603,0.141824
0.020000,0.859147,3.531756,0.272858,0.928383,1.434163,-1.574338,0.154598
0.020000,0.878030,3.534830,0.291989,0.956552,1.408439,-1.286176,0.168165
0.020000,0.897408,3.538262,0.311669,0.983974,1.371113,-1.866313,0.182565
0.020000,0.917260,3.542084,0.331886,1.010847,1.343666,-1.372358,0.197842
0.020000,0.937562,3.546324,0.352626,1.037006,1.307922,-1.787200,0.214040
0.020000,0.958289,3.551015,0.373876,1.062530,1.276191,-1.586562,0.231205
0.020000,0.979411,3.556189,0.395623,1.087340,1.240515,-1.783778,0.249379
0.020000,1.000900,3.561881,0.417854,1.111525,1.209260,-1.562768,0.268610
0.020000,1.022724,3.568127,0.440554,1.135002,1.173850,-1.770474,0.288939
0.020000,1.044852,3.574962,0.463712,1.157938,1.146806,-1.352234,0.310409
0.020000,1.067247,3.582425,0.487319,1.180313,1.118767,-1.401914,0.333055
0.020000,1.089874,3.590554,0.511362,1.202150,1.091812,-1.347786,0.356906
0.020000,1.112699,3.599391,0.535837,1.223773,1.081175,-0.531807,0.381988
0.020000,1.135683,3.608976,0.560739,1.245117,1.067209,-0.698327,0.408310
0.020000,1.158790,3.619351,0.586069,1.266497,1.068973,0.088198,0.435873
0.020000,1.181986,3.630562,0.611832,1.288142,1.082236,0.663172,0.464662
0.020000,1.205235,3.642653,0.638037,1.310263,1.106047,1.190522,0.494641
0.020000,1.228503,3.655674,0.664701,1.333201,1.146910,2.043180,0.525757
0.020000,1.251762,3.669672,0.691847,1.357297,1.204837,2.896309,0.557932
0.020000,1.274980,3.684702,0.719506,1.382923,1.281260,3.821177,0.591066
0.020000,1.298132,3.700816,0.747714,1.410404,1.374053,4.639655,0.625034
0.020000,1.321193,3.718071,0.776516,1.440099,1.484758,5.535230,0.659688
0.020000,1.344028,3.736432,0.805816,1.464997,1.244920,-11.991914,0.694684
0.020000,1.366400,3.755744,0.835371,1.477755,0.637864,-30.352769,0.729495
0.020000,1.388207,3.775926,0.865084,1.485646,0.394548,-12.165794,0.763780
0.020000,1.409461,3.796980,0.895000,1.495801,0.507754,5.660311,0.797388
0.020000,1.430171,3.818905,0.925161,1.508036,0.611771,5.200842,0.830181
0.020000,1.450349,3.841699,0.955602,1.522070,0.701719,4.497390,0.862039
0.020000,1.470000,3.865354,0.986355,1.537636,0.778258,3.826946,0.892859
0.020000,1.489134,3.889857,1.017443,1.554434,0.839924,3.083315,0.922559
0.020000,1.507757,3.915193,1.048887,1.572193,0.887944,2.400969,0.951076
0.020000,1.525875,3.941342,1.080700,1.590629,0.921802,1.692891,0.978364
0.020000,1.543497,3.968280,1.112890,1.609504,0.943735,1.096698,1.004394
0.020000,1.560630,3.995982,1.145462,1.628598,0.954701,0.548268,1.029151
0.020000,1.577283,4.024419,1.178416,1.647711,0.955665,0.048230,1.052634
0.020000,1.593466,4.053561,1.211750,1.666699,0.949390,-0.313773,1.074852
0.020000,1.609192,4.083377,1.245459,1.685428,0.936441,-0.647434,1.095822
0.020000,1.624471,4.113834,1.279534,1.703778,0.917513,-0.946412,1.115567
0.020000,1.639320,4.144903,1.313968,1.721712,0.896702,-1.040542,1.134118
0.020000,1.653753,4.176550,1.348751,1.739150,0.871920,-1.239126,1.151508
0.020000,1.667786,4.208745,1.383872,1.756037,0.844349,-1.378542,1.167770
0.020000,1.681438,4.241459,1.419320,1.772401,0.818180,-1.308460,1.182942
0.020000,1.694727,4.274663,1.455084,1.788210,0.790475,-1.385213,1.197060
0.020000,1.707672,4.308329,1.491154,1.803471,0.763034,-1.372072,1.210161
0.020000,1.720294,4.342432,1.527518,1.818197,0.736279,-1.337724,1.222281
0.020000,1.732614,4.376947,1.564166,1.832407,0.710537,-1.287101,1.233453
0.020000,1.744653,4.411852,1.601088,1.846128,0.686051,-1.224299,1.243711
0.020000,1.756433,4.447124,1.638276,1.859388,0.662998,-1.152653,1.253084
0.020000,1.767976,4.482745,1.675721,1.872218,0.641502,-1.074815,1.261603
0.020000,1.779305,4.518695,1.713414,1.884651,0.621645,-0.992850,1.269293
0.020000,1.790443,4.554958,1.751348,1.896721,0.603470,-0.908759,1.276178
0.020000,1.801412,4.591517,1.789517,1.908449,0.586409,-0.853055,1.282281
0.020000,1.812237,4.628357,1.827915,1.919897,0.572395,-0.700668,1.287621
0.020000,1.822940,4.665466,1.866537,1.931086,0.559456,-0.646984,1.292215
0.020000,1.833547,4.702831,1.905378,1.942051,0.548241,-0.560751,1.296079
0.020000,1.844080,4.740440,1.944434,1.952819,0.538410,-0.491549,1.299224
0.020000,1.854566,4.778283,1.983703,1.963439,0.531010,-0.369990,1.301662
0.020000,1.865028,4.816351,2.023182,1.973941,0.525101,-0.295473,1.303399
0.020000,1.875492,4.854633,2.062869,1.984355,0.520693,-0.220374,1.304442
0.020000,1.885984,4.893123,2.102763,1.994717,0.518109,-0.129179,1.304794
0.020000,1.896530,4.931813,2.142864,2.005064,0.517317,-0.039614,1.304457
