dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.587128,2.912225,0.000200,0.020000,1.000000,50.000000,6.280701
0.020000,0.587225,2.912225,0.000296,0.004820,-0.759020,-87.950989,6.281022
0.020000,0.587418,2.912224,0.000489,0.009647,0.241356,50.018813,6.281665
0.020000,0.587707,2.912224,0.000779,0.014489,0.242109,0.037647,6.282631
0.020000,0.589922,2.912225,0.002994,0.110739,4.812494,228.519223,0.000737
0.020000,0.594407,2.912232,0.007478,0.224224,5.674278,43.089231,0.002356
0.020000,0.599794,2.912250,0.012866,0.269370,2.257304,-170.848719,0.004310
0.020000,0.606082,2.912284,0.019154,0.314390,2.250988,-0.315799,0.006602
0.020000,0.613273,2.912341,0.026345,0.359552,2.258070,0.354074,0.009239
0.020000,0.621369,2.912428,0.034441,0.404816,2.263241,0.258560,0.012228
0.020000,0.630371,2.912553,0.043444,0.450146,2.266496,0.162770,0.015577
0.020000,0.640287,2.912726,0.053362,0.495915,2.288442,1.097302,0.019298
0.020000,0.651113,2.912957,0.064190,0.541410,2.274717,-0.686258,0.023397
0.020000,0.662859,2.913258,0.075940,0.587477,2.303384,1.433354,0.027891
0.020000,0.675522,2.913642,0.088609,0.633464,2.299345,-0.201951,0.032788
0.020000,0.689109,2.914124,0.102204,0.679742,2.313897,0.727607,0.038104
0.020000,0.703622,2.914719,0.116729,0.726270,2.326413,0.625763,0.043856
0.020000,0.719065,2.915445,0.132190,0.773008,2.336879,0.523325,0.050058
0.020000,0.735443,2.916320,0.148591,0.820054,2.352288,0.770453,0.056731
0.020000,0.752761,2.917365,0.165940,0.867484,2.371530,0.962082,0.063894
0.020000,0.771021,2.918604,0.184243,0.915125,2.382016,0.524304,0.071568
0.020000,0.790228,2.920060,0.203505,0.963116,2.399551,0.876758,0.079778
0.020000,0.810388,2.921760,0.223736,1.011551,2.421747,1.109798,0.088548
0.020000,0.831503,2.923734,0.244944,1.060382,2.441582,0.991755,0.097906
0.020000,0.853577,2.926013,0.267135,1.109563,2.459045,0.873163,0.107880
0.020000,0.876616,2.928632,0.290322,1.159359,2.489807,1.538069,0.118502
0.020000,0.900619,2.931627,0.314511,1.209461,2.505084,0.763879,0.129805
0.020000,0.925593,2.935039,0.339717,1.260287,2.541292,1.810377,0.141824
0.020000,0.951537,2.938912,0.365949,1.311575,2.564431,1.156944,0.154598
0.020000,0.978454,2.943294,0.393220,1.363560,2.599247,1.740834,0.168165
0.020000,1.006339,2.948234,0.421539,1.415977,2.620859,1.080587,0.182565
0.020000,1.035193,2.953788,0.450923,1.469168,2.659527,1.933385,0.197842
0.020000,1.065008,2.960016,0.481382,1.522941,2.688644,1.455849,0.214040
0.020000,1.095779,2.966980,0.512931,1.577445,2.725206,1.828101,0.231205
0.020000,1.127493,2.974750,0.545582,1.632574,2.756471,1.563255,0.249379
0.020000,1.160135,2.983397,0.579351,1.688443,2.793446,1.848773,0.268610
0.020000,1.193686,2.992999,0.614248,1.744871,2.821371,1.396221,0.288939
0.020000,1.228120,3.003637,0.650289,1.802011,2.857017,1.782332,0.310409
0.020000,1.263406,3.015396,0.687482,1.859677,2.883287,1.313498,0.333055
0.020000,1.299500,3.028365,0.725835,1.917670,2.899676,0.819426,0.356906
0.020000,1.336358,3.042636,0.765360,1.976202,2.926581,1.345280,0.381988
0.020000,1.373918,3.058300,0.806055,2.034765,2.928138,0.077809,0.408310
0.020000,1.412111,3.075450,0.847922,2.093364,2.929951,0.090652,0.435873
0.020000,1.450858,3.094178,0.890957,2.151768,2.920190,-0.488027,0.464662
0.020000,1.490064,3.114570,0.935150,2.209606,2.891928,-1.413110,0.494641
0.020000,1.529624,3.136707,0.980482,2.266629,2.851136,-2.039592,0.525757
0.020000,1.569421,3.160661,1.026932,2.322507,2.793895,-2.862082,0.557932
0.020000,1.609328,3.186494,1.074470,2.376907,2.719997,-3.694900,0.591066
0.020000,1.649207,3.214250,1.123059,2.429407,2.624994,-4.750126,0.625034
0.020000,1.688916,3.243961,1.172652,2.479669,2.513098,-5.594808,0.659688
0.020000,1.728113,3.275478,1.222948,2.514821,1.757607,-37.774555,0.694684
0.020000,1.766295,3.308438,1.273389,2.522015,0.359743,-69.893209,0.729495
0.020000,1.803201,3.342590,1.323672,2.514164,-0.392584,-37.616315,0.763780
0.020000,1.838781,3.377833,1.373752,2.503992,-0.508592,-5.800410,0.797388
0.020000,1.873004,3.414060,1.423587,2.491782,-0.610498,-5.095292,0.830181
0.020000,1.905851,3.451164,1.473142,2.477752,-0.701507,-4.550445,0.862039
0.020000,1.937321,3.489041,1.522386,2.462202,-0.777492,-3.799249,0.892859
0.020000,1.967424,3.527588,1.571295,2.445407,-0.839737,-3.112269,0.922559
0.020000,1.996181,3.566708,1.619848,2.427670,-0.886849,-2.355599,0.951076
